name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,creator,price
peugeot 504 coupe 1970,24,4,120,97,2400,12,1970,peugeot,10000
peugeot 204 break 1970,27,4,113,65,2050,17,1970,peugeot,6800
peugeot 204 cabriolet 1970,26,4,113,70,2150,15,1970,peugeot,12500
peugeot 403 1970,22,4,146,65,2350,18,1970,peugeot,6000
peugeot 203 1970,21,4,129,60,2300,19,1970,peugeot,6000
peugeot 404 cabriolet 1970,23,4,108,88,2350,14,1970,peugeot,35000
peugeot 504 station wagon 1970,24,4,120,90,2500,13,1970,peugeot,11500
peugeot 204 berlina 1970,28,4,113,65,2050,17,1970,peugeot,5000
peugeot j7 van 1970,18,4,162,70,3400,22,1970,peugeot,5950
audi 100 1970,22,4,104,83,2410,12,1970,audi,4000
audi 60 1970,19,4,91,75,2360,13,1970,audi,7000
audi 1600 1970,18,4,98,75,2220,14,1970,audi,4500
audi 1800 1970,20,4,110,90,2450,11,1970,audi,15000
audi 200 1970,18,4,118,100,2550,10,1970,audi,10000
audi 100 gl 1970,21,4,110,90,2550,11,1970,audi,5000
audi 1500 1970,19,4,91,72,2300,13,1970,audi,9500
saab 99 1970,25,4,121,87,2420,14,1970,saab,9000
saab 96 v4 1970,22,4,93,65,2210,15,1970,saab,7000
saab sonett iii 1970,25,4,170,65,1940,13,1970,saab,10000
saab 95 wagon 1970,22,3,91,68,2310,16,1970,saab,9900
bmw 2800 1970,17,6,168,170,3070,9,1970,bmw,43000
bmw 3.0cs 1970,15,6,183,200,3080,8,1970,bmw,59900
bmw 1600 1970,25,4,98,85,1950,11,1970,bmw,15500
bmw 1600-2 1970,26,4,98,90,2000,11,1970,bmw,24000
bmw 2000cs 1970,20,4,121,120,2500,9,1970,bmw,23400
bmw 2800cs 1970,16,6,168,170,3100,8,1970,bmw,38000
bmw 3.0csl 1970,14,6,183,200,2800,8,1970,bmw,210000
bmw 2002 ti 1970,21,4,121,130,2200,8,1970,bmw,29000
bmw 3.0s 1970,16,6,183,160,3000,8,1970,bmw,19000
opel gt 1970,25,4,116,102,2150,10,1970,opel,16000
opel rekord 1970,20,6,158,115,2800,11,1970,opel,7500
opel kadett 1970,22,4,67,60,2100,14,1970,opel,12000
opel manta 1970,20,4,116,90,2500,11,1970,opel,6000
opel olympia 1970,18,4,92,75,2300,12,1970,opel,10000
opel admiral 1970,14,6,170,130,3300,10,1970,opel,18000
opel rekord b 1970,19,4,103,80,2500,13,1970,opel,13000
opel commodore a 1970,17,6,151,110,2700,11,1970,opel,19000
opel kadett c 1970,22,4,61,60,2000,14,1970,opel,12000
opel kadett l 1970,20,4,79,75,2200,13,1970,opel,10000
opel ascona a 1970,18,4,98,80,2300,12,1970,opel,3350
opel diplomat b 1970,14,8,329,160,3700,9,1970,opel,8000
opel gt j 1970,23,4,116,90,2300,10,1970,opel,18000
fiat 124 sedan 1970,22,4,85,75,2010,15,1970,fiat,4000
fiat 850 sport spider 1970,28,4,55,52,1620,18,1970,fiat,7000
fiat 128 1970,25,4,67,60,1920,15,1970,fiat,4000
fiat 1100d 1970,20,4,67,55,2015,20,1970,fiat,1500
fiat 124 spider 1970,21,4,85,90,2080,14,1970,fiat,12000
fiat 1300 1970,18,4,79,75,2360,15,1970,fiat,5800
fiat 500l 1970,28,2,30,24,1500,26,1970,fiat,13500
fiat 850 coupe 1970,25,4,55,52,1710,19,1970,fiat,6500
fiat 1100 1970,19,4,67,55,2150,20,1970,fiat,4000
fiat 125 1970,19,4,98,90,2250,14,1970,fiat,5600
volkswagen beetle 1970,29,4,97,46,1835,21,1970,volkswagen,7000
volkswagen type 2 1970,18,4,96,48,2500,28,1970,volkswagen,10000
volkswagen karmann ghia 1970,25,4,97,60,1940,19,1970,volkswagen,9200
volkswagen 411 1970,23,4,103,68,2400,15,1970,volkswagen,10950
mercury cougar xr-7 1970,15,8,351,300,3400,8,1970,mercury,22900
mercury montego mx 1970,14,8,390,265,3650,9,1970,mercury,16500
mercury marauder x-100 1970,12,8,429,360,4100,8,1970,mercury,16500
mercury cyclone spoiler boss 429 1970,10,8,429,375,3900,7,1970,mercury,60000
mercury monterey 1970,13,8,390,265,4105,9,1970,mercury,10000
mercury marquis brougham 1970,12,8,429,320,4400,9,1970,mercury,15000
mercury cyclone gt 1970,10,8,351,250,3700,8,1970,mercury,17000
mercury comet 1970,17,6,200,120,2970,11,1970,mercury,15000
mercury cougar eliminator 1970,12,8,428,335,3800,7,1970,mercury,46500
oldsmobile 88 1970,14,8,455,280,4100,8,1970,oldsmobile,15000
oldsmobile cutlass s 1970,17,8,350,230,3300,7,1970,oldsmobile,13000
oldsmobile 442 1970,14,8,455,370,3500,6,1970,oldsmobile,32000
oldsmobile toronado 1970,12,8,455,375,4400,7,1970,oldsmobile,16000
oldsmobile delta 88 royale 1970,15,8,455,250,4100,8,1970,oldsmobile,8500
oldsmobile vista cruiser 1970,13,8,350,260,3950,9,1970,oldsmobile,15000
oldsmobile rallye 350 1970,14,8,350,310,3300,6,1970,oldsmobile,36000
oldsmobile ninety-eight 1970,14,8,455,290,4300,8,1970,oldsmobile,16000
oldsmobile 98 regency 1970,14,8,455,310,4200,7,1970,oldsmobile,12500
oldsmobile cutlass supreme 1970,16,8,350,310,3400,7,1970,oldsmobile,13000
oldsmobile omega 1970,19,6,250,155,2800,10,1970,oldsmobile,8000
chrysler 300 hurst 1970,13,8,440,390,4500,6,1970,chrysler,25000
chrysler newport 1970,12,8,383,290,4080,7,1970,chrysler,6000
chrysler new yorker 1970,12,8,440,350,4450,7,1970,chrysler,8000
chrysler town & country 1970,13,8,383,290,4820,9,1970,chrysler,7000
chrysler imperial 1970,10,8,440,350,5100,8,1970,chrysler,15000
chrysler valiant 1970,16,6,225,145,2750,10,1970,chrysler,7000
mazda 616 1970,24,4,98,85,1874,14,1970,mazda,2000
mazda 1500 1970,23,4,91,90,1807,15,1970,mazda,11000
mazda 323 1970,24,4,96,88,1900,15,1970,mazda,9000
volvo 144 1970,18,4,122,97,2700,12,1970,volvo,8000
volvo 145 1970,18,4,122,97,2800,11,1970,volvo,9300
volvo 164 1970,15,6,183,130,3100,10,1970,volvo,5000
volvo p1800e 1970,19,4,122,130,2500,9,1970,volvo,25000
volvo 122s 1970,18,4,122,115,2300,11,1970,volvo,19000
volvo 1800s 1970,19,4,122,115,2300,10,1970,volvo,17000
volvo 145e 1970,17,4,122,125,2950,10,1970,volvo,9000
volvo 164e 1970,14,6,183,140,3150,9,1970,volvo,7000
volvo p1800s 1970,18,4,122,115,2400,9,1970,volvo,20000
